"","district_code","objectid","district_name","6_14_yrs_out_of_school","6_14_yrs_in_private_school","std_1_2_who_can_read_letters_word_more","std_1_2_who_can_recognize_no.s_or_more","std_3_5_who_can_do_subtraction_or_more","std_3_5_who_can_do_read_std1_texts_or_more","single_classroom_primary_schl","single_teacher_primary_schl","primary_school_with_girls_toilet","primary_school_with_boys_toilet","primary_school_with_Drinking_water_facility","gov_primary_school_providing_midDay_meal","gov_primary_school_with_school_managment_committee","TransitionRate_primary_to_UpperPrimary","Retension_Rate_primaryLevel","pupil_teacher_ratio_at_primary_level","pupil_teacher_ratio_at_upper_primary_level","sc_enrollments_in_primary_school","sc_girls_enrollments_in_primary_school","st_enrollment_in_primary_school","st_girls_enrollment_in_primary_school","year","globalid","st_areashape","st_lengthshape","Table.Name","State.Code","Area.Name","Total..Rural..Urban","Age.group","Total.Population...Persons","Total.Population...Males","Total.Population...Females","Educational.level...Graduate.and.above...Persons","Educational.level...Graduate.and.above...Males","Educational.level...Graduate.and.above...Females","Educational.level...Graduate.degree.other.than.technical.degree...Persons","Educational.level...Graduate.degree.other.than.technical.degree...Males","Educational.level...Graduate.degree.other.than.technical.degree...Females","Educational.level...Post.graduate.degree.other.than.technical.degree...Persons","Educational.level...Post.graduate.degree.other.than.technical.degree...Males","Educational.level...Post.graduate.degree.other.than.technical.degree...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Females"
"1",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Rural","30-34",12605,6240,6365,227,148,79,181,122,59,37,24,13,1,0,1,0,0,0,0,0,0,0,0,0,8,2,6,0,0,0
"2",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Rural","25-29",13895,6888,7007,338,222,116,269,189,80,57,28,29,2,1,1,0,0,0,0,0,0,0,0,0,10,4,6,0,0,0
"3",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Urban","25-29",133,70,63,12,7,5,10,7,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Rural","20-24",13999,6946,7053,304,193,111,271,174,97,24,12,12,6,6,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
"5",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Urban","Total",1299,695,604,93,63,30,72,51,21,13,8,5,2,1,1,2,0,2,1,1,0,0,0,0,3,2,1,0,0,0
"6",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Urban","20-24",193,115,78,17,9,8,13,7,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"7",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Rural","15-19",18591,9945,8646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Total","35-59",39815,20369,19446,411,300,111,330,250,80,57,39,18,1,1,0,4,1,3,1,1,0,0,0,0,18,8,10,0,0,0
"9",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Total","60+",14896,7539,7357,19,13,6,14,11,3,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"10",346,16,"Garhwa ",4.8,15.1,48.6,55.2,33.6,23,1.3,12.7,87.36,99,100,99.4,86,77.8,49.2,50,55,26.5,48.8,19.8,49.2,"2012-13","{D6B690F6-DA2E-42A9-B0F7-7B1B9F7E1096}",4961116724.90531,418447.473713841,"C2808STA",20,"District - Garhwa ","Urban","15-19",240,114,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
