Rank,Distict,Total_literacy_rate_excluding_0_to_6_age_grp,Male_literacy_rate_excluding_0_to_6_age_grp,Female_literacy_rate_excluding_0_to_6_age_grp,literacy_percent,longitude,latitude,objectid
16,Jamtara,63.73,76.85,50.08,64.59,86.9250664832084,23.9768893,1
7,Serikela Kharsawan,68.85,81.01,56.19,67.71,86.0122,22.856126,2
10,Simdega,67.59,75.84,59.38,67.99,84.496,22.6151,3
20,Latehar,61.23,71.8,50.26,59.51,84.5091,23.7463,4
15,Khunti,64.51,75.33,53.71,63.86,85.2774,23.0798,5
21,West Singhbhum,59.54,72.18,47.01,58.63,85.4376,22.3651,6
6,Hazaribagh,70.48,81.15,59.25,69.75,85.36911,23.99662,7
19,Chatra,62.14,71.85,51.91,60.18,84.877,24.2045,8
2,East Singhbhum,76.13,84.51,67.33,75.49,86.2279,22.78732,9
8,Koderma,68.35,81.25,54.77,66.84,85.5934,24.4677,10
14,Giridih,65.12,79.08,50.33,63.14,86.2996,24.1913,11
9,Lohardaga,68.29,78.62,57.86,67.61,84.6845,23.4409,12
23,Sahibganj,53.73,62.65,44.31,52.04,87.6454,25.2381,13
22,Godda,57.68,69.56,44.9,56.41,87.2135,24.8255,14
13,Palamu,65.5,76.27,53.87,63.63,84.185712,24.128611,15
18,Garhwa,62.18,74,49.43,60.33,83.7996,24.1549,16
1,Ranchi,77.13,85.63,68.2,76.06,85.3096,23.3441,17
3,Dhanbad,75.71,85.68,64.7,74.52,86.4304,23.7957,18
17,Dumka,62.54,75.17,49.6,61.02,87.2488,24.2685,19
5,Bokaro,73.48,84.5,61.46,72.01,86.1511,23.6693,20
12,Deoghar,66.34,79.13,52.39,64.85,86.6948,24.4852,21
11,Gumla,66.92,76.87,56.97,65.73,84.5379,23.0441,22
4,Ramgarh,73.92,83.51,63.49,73.17,85.5612,23.6524,23
24,Pakur,50.17,59.02,41.23,48.82,87.8501,24.6337,24
