"","objectid","district_name","district_code","6_14_yrs_out_of_school","6_14_yrs_in_private_school","std_1_2_who_can_read_letters_word_more","std_1_2_who_can_recognize_no.s_or_more","std_3_5_who_can_do_subtraction_or_more","std_3_5_who_can_do_read_std1_texts_or_more","single_classroom_primary_schl","single_teacher_primary_schl","primary_school_with_girls_toilet","primary_school_with_boys_toilet","primary_school_with_Drinking_water_facility","gov_primary_school_providing_midDay_meal","gov_primary_school_with_school_managment_committee","TransitionRate_primary_to_UpperPrimary","Retension_Rate_primaryLevel","pupil_teacher_ratio_at_primary_level","pupil_teacher_ratio_at_upper_primary_level","sc_enrollments_in_primary_school","sc_girls_enrollments_in_primary_school","st_enrollment_in_primary_school","st_girls_enrollment_in_primary_school","year","globalid","st_areashape","st_lengthshape","Rank","Distict","Total_literacy_rate_excluding_0_to_6_age_grp","Male_literacy_rate_excluding_0_to_6_age_grp","Female_literacy_rate_excluding_0_to_6_age_grp"
"1",1,"Jamtara",363,3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,16,"Jamtara",63.73,76.85,50.08
"2",2,"Saraikela-Kharsawan",369,2.6,5.1,68.8,71.1,59.2,42.1,1.9,4.4,82.02,74,83,99.7,91.8,77.7,61.2,28,37,10.2,41.1,41.7,46.9,"2012-13","{7B4D1228-F660-415E-893E-D39288707078}",3130680937.71506,377694.61761581,7,"Serikela Kharsawan",68.85,81.01,56.19
"3",3,"Simdega",367,3.5,26.7,64.4,72.7,57,45,1.5,22.5,73.65,64,86.5,95.2,83.4,78.9,34.1,30,38,9.8,49.3,73.2,49,"2012-13","{09BAF1ED-CBDA-4C75-A374-35508FAAAAF8}",4393976906.15055,391751.4126744,10,"Simdega",67.59,75.84,59.38
"4",4,"Latehar",359,5.6,8.9,68.3,65,39.2,37.7,0.6,16.2,59.73,90,75.6,99.5,86.4,72.3,50.3,36,52,26.4,48.2,48.2,49.3,"2012-13","{0987DB54-625D-4D43-A2AA-D847209D23AA}",4924517267.47632,490782.289826517,20,"Latehar",61.23,71.8,50.26
"5",5,"Khunti",365,4.9,20.8,69.8,69.3,58.5,44.4,1.2,28.1,73.74,70,87.7,98.1,88.7,79.7,NA,28,41,6.8,48.7,76.9,48.9,"2012-13","{6E22FD92-6ABF-47BA-A2B0-8EAEFFAB3212}",3103776308.37475,396310.824244495,15,"Khunti",64.51,75.33,53.71
"6",6,"Pashchimi Singhbhum",368,5.9,7.6,37.9,53.1,25.1,18.4,1.2,34.5,48.33,70,83,98.2,91.6,72.9,43.2,38,47,4.6,47.1,73.3,47.8,"2012-13","{2AF8DED9-DBA1-4F4B-B72C-C04D29DF0AFA}",8480646643.80105,548333.583161683,21,"West Singhbhum",59.54,72.18,47.01
"7",7,"Hazaribagh",360,1.1,34.9,57.5,63.2,50.4,37.2,0.9,6.2,67.08,62,89.8,99.4,83.7,80.6,36.7,37,46,22.6,49.8,10,49.6,"2012-13","{A0738353-097C-480B-8F07-39D3ED77660B}",4949726826.81495,625573.864360055,6,"Hazaribagh",70.48,81.15,59.25
"8",8,"Chatra",347,3.6,13.1,64.7,65.5,39.5,27.8,0.2,9,82.1,75,91.9,99.6,19.8,66.8,56.9,39,NA,39.9,48.4,6.1,47.7,"2012-13","{692736C0-B738-47F9-8693-F6350B612678}",4593570337.55477,470172.196730702,19,"Chatra",62.14,71.85,51.91
"9",9,"Purbi Singhbhum",357,2,15,64.3,77,54,47.7,2.7,19.7,70.26,82,89.5,97.2,98.1,86.9,78.7,25,34,6.7,48.7,33.8,48.5,"2012-13","{0CC499C6-CBE3-4D96-87DD-9705CD0EC0AF}",4206601640.76265,443108.278026231,2,"East Singhbhum",76.13,84.51,67.33
"10",10,"Kodarma",348,0.8,20.6,58.9,63.1,43.3,34,0.7,19.6,70.47,61,79.7,88.5,90.7,80,49.1,41,46,18.9,47.9,1.4,45.6,"2012-13","{8987B410-33EC-413F-B838-B54E647B0633}",2169719352.32048,350430.469983735,8,"Koderma",68.35,81.25,54.77
